Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2012-03-08,08/08/2012,20/09/2012,WEE****11,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,174.2,0.0,2012-03-08,734570,1
Recorded,2013-12-06,13/06/2013,02/08/2013,WEE****51,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,150.0,1600.0,2013-12-06,735208,0
Recorded,2017-12-12,14/12/2017,05/01/2018,WEE****44,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,137.5,3500.0,2017-12-12,736675,0
Recorded,2013-01-16,16/01/2013,05/03/2013,WEE****30,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,1800.0,2013-01-16,734884,0
Recorded,2010-03-06,03/06/2010,19/07/2010,WEE****18,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,100.0,2400.0,2010-03-06,733837,0
Recorded,2009-11-19,20/11/2009,06/01/2010,WEE****25,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2519.7,1800.0,2009-11-19,733730,0
Recorded,2022-03-06,09/06/2022,24/06/2022,WEE****44,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,26.9,8000.0,2022-03-06,738220,0
Recorded,2016-10-08,10/08/2016,16/09/2016,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,2800.0,2016-10-08,736245,0
Recorded,2018-01-11,06/11/2018,30/11/2018,WEE****99,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,550.0,2018-01-11,736705,1
Recorded,2014-07-15,18/07/2014,26/08/2014,WEE****78,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,20.0,1200.0,2014-07-15,735429,0
Recorded,2017-02-13,23/02/2017,07/03/2017,WEE****34,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,15.0,2825.0,2017-02-13,736373,0
Recorded,2014-02-21,13/03/2014,09/04/2014,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,180.0,0.0,2014-02-21,735285,1
Recorded,2015-01-30,13/02/2015,02/03/2015,WEE****87,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,25.0,1750.0,2015-01-30,735628,0
