Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2011-03-21,21/03/2011,21/04/2011,WEE****11,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,13.0,1940.0,2011-03-21,734217,0
Recorded,2014-11-12,14/12/2014,04/02/2015,WEE****08,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,200.0,1400.0,2014-11-12,735549,0
Recorded,2016-11-21,01/12/2016,16/01/2017,WEE****10,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,11.5,0.0,2016-11-21,736289,1
Recorded,2014-11-04,07/05/2014,10/06/2014,WEE****82,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.7,1300.0,2014-11-04,735541,0
Recorded,2019-07-30,31/07/2019,22/08/2019,WEE****07,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,5.0,4000.0,2019-07-30,737270,0
Recorded,2015-12-29,08/01/2016,10/02/2016,WEE****69,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,92.4,2840.0,2015-12-29,735961,0
Recorded,2010-10-06,15/06/2010,12/07/2010,WEE****33,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.5,0.0,2010-10-06,734051,1
Recorded,2021-02-19,26/02/2021,17/03/2021,WEE****42,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,18.6,3900.0,2021-02-19,737840,0
Recorded,2016-12-10,13/10/2016,07/12/2016,WEE****94,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.5,2800.0,2016-12-10,736308,0
Recorded,2011-03-11,03/11/2011,21/11/2011,WEE****66,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.0,0.0,2011-03-11,734207,1
Recorded,2018-07-08,07/08/2018,30/08/2018,WEE****64,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,3000.0,2018-07-08,736883,0
